update,org,not,nand,and,orn,or,andn,nor,xor,equ,dead,parasites,parasite_not,parasite_nand,parasite_and,parasite_orn,parasite_or,parasite_andn,parasite_nor,parasite_xor,parasite_equ
196,1121,3,0,38,0,0,104,29,0,0,64,0,0,0,0,0,0,0,0,0,0
197,1122,3,0,37,0,0,104,29,0,0,40,0,0,0,0,0,0,0,0,0,0
198,1132,3,0,37,0,0,102,29,0,0,48,0,0,0,0,0,0,0,0,0,0
199,1118,3,0,35,0,0,99,27,0,0,55,0,0,0,0,0,0,0,0,0,0
200,1118,3,0,34,0,0,99,26,0,0,59,0,0,0,0,0,0,0,0,0,0
201,1109,3,0,33,0,0,101,25,0,0,55,0,0,0,0,0,0,0,0,0,0
202,1100,3,0,32,0,0,100,25,0,0,51,0,0,0,0,0,0,0,0,0,0
203,1111,3,0,32,0,0,105,25,0,0,38,0,0,0,0,0,0,0,0,0,0
204,1102,3,0,32,0,0,103,25,0,0,49,0,0,0,0,0,0,0,0,0,0
205,1085,3,0,32,0,0,105,25,0,0,52,0,0,0,0,0,0,0,0,0,0
206,1074,3,0,31,0,0,105,26,0,0,57,0,0,0,0,0,0,0,0,0,0
207,1061,3,0,31,0,0,107,26,0,0,43,0,0,0,0,0,0,0,0,0,0
208,1052,3,0,31,0,0,106,26,0,0,51,0,0,0,0,0,0,0,0,0,0
209,1035,4,0,30,0,0,103,26,0,0,60,0,0,0,0,0,0,0,0,0,0
210,1053,4,0,32,0,0,104,26,0,0,49,0,0,0,0,0,0,0,0,0,0
211,1039,4,0,32,0,0,101,26,0,0,50,0,0,0,0,0,0,0,0,0,0
212,1036,4,0,33,0,0,98,27,0,0,42,0,0,0,0,0,0,0,0,0,0
213,1047,4,0,33,0,0,100,27,0,0,39,0,0,0,0,0,0,0,0,0,0
214,1034,4,0,33,0,0,98,26,0,0,52,0,0,0,0,0,0,0,0,0,0
215,1032,4,0,34,0,0,96,26,0,0,45,0,0,0,0,0,0,0,0,0,0
216,1022,4,0,33,0,0,96,26,0,0,54,0,0,0,0,0,0,0,0,0,0
217,1015,4,0,33,0,0,96,26,0,0,43,0,0,0,0,0,0,0,0,0,0
218,1016,4,0,32,0,0,98,26,0,0,44,0,0,0,0,0,0,0,0,0,0
219,997,4,0,31,0,0,92,26,0,0,58,0,0,0,0,0,0,0,0,0,0
220,1004,4,0,31,0,0,92,26,0,0,42,0,0,0,0,0,0,0,0,0,0
221,1014,4,0,31,0,0,94,26,0,0,39,0,0,0,0,0,0,0,0,0,0
222,1007,4,0,32,0,0,94,26,0,0,45,0,0,0,0,0,0,0,0,0,0
223,1014,4,0,32,0,0,93,26,0,0,42,0,0,0,0,0,0,0,0,0,0
224,1010,4,0,34,0,0,92,27,0,0,40,0,0,0,0,0,0,0,0,0,0
225,1002,4,0,34,0,0,91,28,0,0,46,0,0,0,0,0,0,0,0,0,0
226,981,3,0,34,0,0,93,27,0,0,65,0,0,0,0,0,0,0,0,0,0
227,975,3,0,34,0,0,92,27,0,0,45,0,0,0,0,0,0,0,0,0,0
228,980,3,0,34,0,0,94,27,0,0,40,0,0,0,0,0,0,0,0,0,0
229,974,3,0,36,0,0,94,26,0,0,47,0,0,0,0,0,0,0,0,0,0
230,975,3,0,34,0,0,92,25,0,0,46,0,0,0,0,0,0,0,0,0,0
231,969,4,0,34,0,0,92,25,0,0,50,0,0,0,0,0,0,0,0,0,0
232,967,4,0,33,0,0,90,25,0,0,37,0,0,0,0,0,0,0,0,0,0
233,969,4,0,33,0,0,89,24,0,0,46,0,0,0,0,0,0,0,0,0,0
234,973,4,0,33,0,0,85,24,0,0,41,0,0,0,0,0,0,0,0,0,0
235,960,4,0,33,0,0,85,24,0,0,42,0,0,0,0,0,0,0,0,0,0
236,958,4,0,33,0,0,84,24,0,0,46,0,0,0,0,0,0,0,0,0,0
237,939,4,0,33,0,0,82,24,0,0,48,0,0,0,0,0,0,0,0,0,0
238,945,4,0,33,0,0,81,25,0,0,35,0,0,0,0,0,0,0,0,0,0
239,929,4,0,32,0,0,81,25,0,0,45,0,0,0,0,0,0,0,0,0,0
240,947,4,0,31,0,0,81,26,0,0,36,0,0,0,0,0,0,0,0,0,0
241,943,4,0,31,0,0,84,26,0,0,44,0,0,0,0,0,0,0,0,0,0
242,924,4,0,29,0,0,79,27,0,0,50,0,0,0,0,0,0,0,0,0,0
243,927,4,0,28,0,0,82,27,0,0,35,0,0,0,0,0,0,0,0,0,0
244,912,4,0,29,0,0,79,27,0,0,52,0,0,0,0,0,0,0,0,0,0
245,912,4,0,29,0,0,76,27,0,0,47,0,0,0,0,0,0,0,0,0,0
246,898,4,0,31,0,0,76,28,0,0,52,0,0,0,0,0,0,0,0,0,0
247,873,4,0,31,0,0,73,28,0,0,55,0,0,0,0,0,0,0,0,0,0
248,870,4,0,30,0,0,74,28,0,0,36,0,0,0,0,0,0,0,0,0,0
249,853,4,0,31,0,0,74,27,0,0,49,0,0,0,0,0,0,0,0,0,0
250,847,4,0,30,0,0,76,25,0,0,52,0,0,0,0,0,0,0,0,0,0
251,836,4,0,30,0,0,75,25,0,0,48,0,0,0,0,0,0,0,0,0,0
252,826,4,0,31,0,0,71,24,0,0,48,0,0,0,0,0,0,0,0,0,0
253,822,4,0,32,0,0,72,23,0,0,36,0,0,0,0,0,0,0,0,0,0
